time,T1,T2
0,13556.15,6943.3777
1,12851.15,7056
2,12118.63,6138.9496
3,11700.56,6693.54
4,11960.08,6949.7099
5,12420.49,7473.011
6,13566.89,8206.695
7,14606.22,9500.33
8,15423.28,10543.722
9,15700.35,11635.715
10,15921.61,12636.295
11,15622.74,13266.302
12,15460.15,13375.124
13,15466.31,12774.776
14,15399.58,13029.66
15,15520.56,11790.877
16,15508.3,11359.999
17,15635.06,11155.109
18,15461.17,10358.768
19,15571.1,10081.407
20,15316.79,10174.808
21,15217.54,9682.995
22,14772.81,9274.181
23,14252.61,9159.983
24,13387.66,8063.566
25,12568.46,7275.191
26,11757.79,7044.877
27,11228.66,6325.6592
28,11341.88,6667.9172
29,11776.81,6845.7319
30,12754.03,7740.971
31,13748.46,8036.539
32,14741.41,10077.725
33,15251.76,10160.486
34,15640.08,11964.099
35,15686.28,12658.226
36,15545.66,12818.197
37,15380.33,12978.014
38,15228.61,12996.844
39,15123.8,11970.133
40,15116.95,11893.364
41,15376.9,11573.562
42,15565.1,10515.645
43,15729.35,10822.07
44,15735.61,10911.936
45,15392.84,10070.263
46,14789.04,10400.39
47,14061.21,9304.645
48,13234.01,8029.903
49,12388.74,6945.7745
50,11805.46,6704.4663
51,11619.17,5829.9773
52,11985.8,6581.0787
53,12948.45,7224.651
54,14169.78,7834.064
55,15292.13,8276.233
56,16101.04,9047.577
57,16360.76,9561.552
58,16330.15,9848.58
59,16125.9,10610.509
60,15947.96,11045.573
61,15798.64,11447.163
62,15897.49,11581.843
63,15833.54,11826.493
64,15962.56,11110.547
65,16021.55,10494.547
66,16101.22,10213.196
67,16005.58,9249.576
68,15827.65,9214.464
69,15274.38,8594.789
70,14616.59,8080.926
71,13715.05,7638.407
